TransactionId: 122691b6-1c44-42ae-91bc-f45011526b83 | AccountNumber: 88888 | Type: CREDIT | Amount: 1000.00
TransactionId: fb454e65-b615-42ea-bc94-db9e01a91fb3 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: d979d9da-987a-4b83-8d92-932c333e839a | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 0aa844c0-b6d3-475e-94fb-f8f84a701b9b | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 1d7c3299-aa41-42fe-b2bd-302fbf7fbf23 | AccountNumber: 88888 | Type: CREDIT | Amount: 1000.00
TransactionId: 39e5fa19-5ac7-49d2-8b9c-e4a7a7b286bf | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: cb33ad3f-165e-4a97-b230-4846e4c509ca | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 761a7184-a74e-4a69-b982-55ced930c8f6 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: a38103a4-2d34-41f6-9980-db75cd53cfc4 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 12803adc-0619-45a1-919c-e1ea8bd3dc2e | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: babec7a9-7c03-4b5d-9aa1-7738e1ed4cd6 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 805088c7-f73b-4941-8366-e9d797de9b8d | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: cb51b537-2263-4008-9f83-f42950f9e384 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: bb89e79e-607a-4776-9638-a7438f4897f2 | AccountNumber: 88888 | Type: CREDIT | Amount: 1000.00
TransactionId: 48a77844-cb08-4105-b5ee-c7fc0cdab91a | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 45b03ab5-4f68-4be5-b40d-f7df713e61ec | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 80d9b2dc-1eb6-4a24-8055-457fef45a289 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 4d5d6863-3e4a-45ac-afa0-5548043342ba | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 7abb2174-d71d-4923-b8ee-0d6f57664578 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: e9b7c058-62f0-4afc-aebc-3ca7abf2b504 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 31d2147a-9ca2-449e-85a7-fcdbef4a1c08 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 66a2622c-cb84-4e69-818b-7f2d02af6c14 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
